Name,Team,IP,H,SO,BB,W,SV,ERA,playerid
Jake Faria,ARI,32.2,39,32,13,0,0,5.51,13699
Alex Claudio,LAA,32.2,37,30,15,1,1,5.51,12890
Ryan Sherriff,TBR,14.2,14,16,9,0,1,5.52,12249
Sam Long,SFG,40.2,37,38,15,2,0,5.53,25379
David Peterson,NYM,66.2,64,69,29,2,0,5.54,20302
Kyle Barraclough,MIN,13,12,18,8,2,0,5.54,13713
Ben Rowen,LAA,11.1,12,8,2,0,0,5.56,10983
Gabe Klobosits,WSN,11.1,13,5,5,0,0,5.56,19881
Michael Lorenzen,CIN,29,26,21,14,1,4,5.59,14843
Heath Hembree,- - -,58,45,83,24,2,9,5.59,11632
Evan Marshall,CHW,27.1,28,26,9,0,0,5.6,12297
Sam Howard,PIT,45,34,60,32,3,0,5.6,16265
Sam Clay,WSN,45,55,34,22,0,0,5.6,16279
Griffin Canning,LAA,62.2,65,62,28,5,0,5.6,19867
Hyeon-jong Yang,TEX,35.1,42,25,16,0,0,5.6,27513
Fernando Abad,BAL,17.2,23,10,7,0,0,5.6,4994
Anthony Kay,TOR,33.2,38,39,18,1,0,5.61,20387
Bailey Falter,PHI,33.2,34,34,6,2,0,5.61,20070
Rafael Dolis,TOR,32,29,39,27,2,3,5.63,4185
Tyler Chatwood,- - -,32,26,38,21,1,1,5.63,4338
Junior Fernandez,STL,20.2,25,15,15,1,0,5.66,18496
Nate Jones,- - -,19,16,14,12,0,0,5.68,4696
Daniel Lynch,KCR,68,80,55,31,4,0,5.69,21537
Erasmo Ramirez,DET,26.2,24,20,5,1,0,5.74,10314
Bryan Abreu,HOU,36,35,36,18,3,1,5.75,16609
Nick Ramirez,SDP,20.1,23,14,7,1,0,5.75,12575
Sam Selman,- - -,25,20,19,12,0,0,5.76,13397
Chase De Jong,PIT,43.2,49,39,19,1,0,5.77,15036
Zach Davies,CHC,148,162,114,75,6,0,5.78,13183
Travis Lakins,BAL,28,23,24,17,1,0,5.79,18600
J.A. Happ,- - -,152.1,177,122,48,10,0,5.79,7410
Matt Manning,DET,85.1,96,57,33,4,0,5.8,20369
Edward Cabrera,MIA,26.1,24,28,19,0,0,5.81,21690
Jose Urena,DET,100.2,119,67,42,4,0,5.81,11589
Patrick Corbin,WSN,171.2,192,143,60,9,0,5.82,9323
Andrew Heaney,- - -,129.2,130,150,41,8,0,5.83,15423
Phillips Valdez,BOS,40,35,35,19,2,1,5.85,15605
Steven Brault,PIT,27.2,33,19,12,0,0,5.86,15291
Paul Blackburn,OAK,38.1,52,26,10,1,0,5.87,14739
Cesar Valdez,BAL,46,62,45,14,2,8,5.87,9013
Zack Britton,NYY,18.1,17,16,14,0,1,5.89,3240
John Brebbia,SFG,18.1,25,22,4,0,0,5.89,12777
Jason Adam,CHC,10.2,10,19,6,1,0,5.91,11861
Jefry Rodriguez,WSN,24.1,25,20,17,0,0,5.92,17018
Charlie Barnes,MIN,38,46,20,16,0,0,5.92,19865
Joe Jimenez,DET,45.1,34,57,35,6,1,5.96,15761
Ryan Hendrix,CIN,31.2,33,35,16,5,0,5.97,19535
Matt Foster,CHW,39,43,40,13,2,1,6,19647
Riley Smith,ARI,67.1,86,36,15,1,1,6.01,19826
Carlos Carrasco,NYM,53.2,59,50,18,1,0,6.04,6632
Amir Garrett,CIN,47.2,46,61,29,0,7,6.04,14375
Dylan Bundy,LAA,90.2,89,84,34,2,0,6.06,12917
Junior Guerra,LAA,65.1,67,61,46,5,0,6.06,5702
Jorge Lopez,BAL,121.2,142,112,56,3,0,6.07,14527
A.J. Puk,OAK,13.1,18,16,6,0,0,6.08,19343
Paul Fry,BAL,47.1,37,60,35,4,2,6.08,15832
Manuel Rodriguez,CHC,17.2,18,16,12,3,1,6.11,20794
Sal Romano,- - -,25,31,17,11,0,0,6.12,13690
Daniel Norris,- - -,57,55,58,30,2,1,6.16,13475
Justin Miller,- - -,19,20,13,6,1,1,6.16,8580
Mitch Keller,PIT,100.2,131,92,49,5,0,6.17,17594
Will Vest,SEA,35,38,27,18,1,0,6.17,19769
Daniel Ponce de Leon,STL,33.1,32,24,22,1,2,6.21,16110
Carlos Martinez,STL,82.1,77,57,36,4,0,6.23,11682
Jimmy Lambert,CHW,13,16,10,6,1,0,6.23,19541
Grant Dayton,ATL,13,15,14,6,0,0,6.23,11203
Tyler Zuber,KCR,27.1,26,25,17,0,0,6.26,20379
Logan Allen,CLE,50.1,58,37,17,2,0,6.26,18555
Matt Harvey,BAL,127.2,160,95,37,6,0,6.27,11713
Reymin Guduan,OAK,14.1,19,5,5,0,0,6.28,13058
Jacob Barnes,- - -,28.2,31,33,11,1,2,6.28,12323
Max Kranick,PIT,38.2,47,32,19,2,0,6.28,22175
Matt Moore,PHI,73,78,63,38,2,0,6.29,1890
Vince Velasquez,- - -,94.1,91,101,49,3,0,6.3,11189
Brad Brach,CIN,30,30,33,18,1,1,6.3,6627
Wander Suero,WSN,42.2,45,44,15,2,0,6.33,15855
Scott Kazmir,SFG,11.1,15,10,6,0,0,6.35,4897
Packy Naughton,LAA,22.2,27,12,14,0,0,6.35,23292
Kevin Ginkel,ARI,28.1,30,31,14,0,0,6.35,19876
Angel Perdomo,MIL,17,12,28,16,1,0,6.35,17759
Griffin Jax,MIN,82,82,65,29,4,0,6.37,20253
Enyel De Los Santos,- - -,35.1,43,48,18,2,0,6.37,18403
Buck Farmer,DET,35.1,40,37,21,0,0,6.37,14814
Brandon Kintzler,PHI,29.2,45,22,8,2,0,6.37,9939
Cionel Perez,CIN,24,21,25,20,1,0,6.38,19614
Rafael Montero,- - -,49.1,59,42,17,5,7,6.39,12760
David Hale,PHI,26.2,30,21,9,0,0,6.41,9756
Paul Campbell,MIA,26.2,32,26,10,2,0,6.41,22248
Tommy Milone,TOR,14,20,17,3,1,1,6.43,7608
Jose Quintana,- - -,63,74,85,35,0,0,6.43,11423
Chi Chi Gonzalez,COL,101.2,127,56,28,3,0,6.46,14663
Kyle Keller,PIT,33.1,30,36,22,1,0,6.48,18890
Ben Bowden,COL,35.2,44,42,21,3,0,6.56,20198
Trevor Cahill,PIT,37,42,32,14,1,0,6.57,6249
Josh Tomlin,ATL,49.1,69,37,5,4,0,6.57,9388
Yoan Lopez,ARI,12.1,18,13,6,0,0,6.57,17181
Alex Young,- - -,52,65,43,27,2,0,6.58,18333
Austin Brice,BOS,13.2,14,12,7,0,0,6.59,17237
T.J. Zeuch,TOR,15,21,8,9,0,0,6.6,19269
Jesus Luzardo,- - -,95.1,106,98,48,6,0,6.61,19959
Ryan Buchter,ARI,16.1,16,16,13,0,0,6.61,9456
Keegan Akin,BAL,95,110,82,40,2,0,6.63,19362
Kohei Arihara,TEX,40.2,45,24,13,2,0,6.64,27505
Edwin Uceta,LAD,20.1,19,25,12,0,0,6.64,20539
Carson Fulmer,CIN,25.2,26,24,13,0,0,6.66,18311
Zac Lowther,BAL,29.2,36,30,13,1,0,6.67,20243
Sam Hentges,CLE,68.2,90,68,32,1,0,6.68,18548
Adam Plutko,BAL,56.1,65,44,27,1,1,6.71,15846
Alex Wells,BAL,42.2,53,26,16,2,0,6.75,19845
Cory Abbott,CHC,17.1,20,12,11,0,0,6.75,20277
Eric Yardley,MIL,18.2,24,5,10,0,0,6.75,15538
Chase Anderson,PHI,48,51,35,20,2,0,6.75,6895
Wade Davis,KCR,42.2,44,38,19,0,2,6.75,7441
Shawn Armstrong,- - -,36,39,44,15,1,0,6.75,12857
Kyle Ryan,CHC,13.1,17,8,6,0,1,6.75,11753
Justus Sheffield,SEA,80.1,105,63,43,7,0,6.83,17285
Cody Stashak,MIN,15.2,16,26,10,0,0,6.89,18088
Aaron Slegers,LAA,31,43,25,15,2,0,6.97,15231
Eric Hanhold,BAL,10.1,13,6,3,0,0,6.97,18332
Michael Rucker,CHC,28.1,32,30,11,0,1,6.99,19454
Cody Ponce,PIT,38.1,56,36,11,0,0,7.04,17920
Conner Greene,- - -,25.1,32,26,12,1,0,7.11,16455
Thomas Eshelman,BAL,27.2,34,11,10,0,0,7.16,18361
Michael Feliz,- - -,20,26,22,7,0,1,7.2,11903
Tommy Nance,CHC,28.2,25,30,13,1,0,7.22,19178
Shane Greene,- - -,23.2,25,24,14,0,1,7.23,10756
Humberto Mejia,ARI,22.1,32,20,9,0,0,7.25,20739
Stefan Crichton,ARI,23.1,33,17,12,0,4,7.33,16058
Robert Dugger,SEA,25.2,34,19,12,0,0,7.36,19191
Jake Arrieta,- - -,98.2,131,83,44,5,0,7.39,4153
Tanner Rainey,WSN,31.2,29,42,25,1,3,7.39,17610
Reid Detmers,LAA,20.2,26,19,11,1,0,7.4,27468
Spencer Howard,- - -,49.2,53,52,27,0,0,7.43,23252
Dean Kremer,BAL,53.2,63,47,25,0,0,7.55,19350
Bryan Garcia,DET,39.1,48,32,25,3,2,7.55,19457
Yency Almonte,COL,47.2,47,47,29,1,0,7.55,15068
Brett De Geus,- - -,50,62,41,25,3,0,7.56,23592
Andrew Albers,MIN,19,24,12,9,1,0,7.58,7853
Randy Dobnak,MIN,50.2,66,27,12,1,1,7.64,23798
J.B. Bukauskas,ARI,17.1,24,14,7,2,0,7.79,20491
Kyle Cody,TEX,11.1,16,14,2,0,0,7.94,19686
Ljay Newsome,SEA,14.2,20,16,3,1,0,7.98,19942
Matt Shoemaker,MIN,60.1,73,40,27,3,0,8.06,4776
Spenser Watkins,BAL,54.2,74,35,19,2,0,8.07,17489
Nick Margevicius,SEA,12,13,12,7,0,0,8.25,20395
JC Mejia,CLE,52.1,60,47,24,1,0,8.25,20617
Jose De Leon,CIN,18.1,22,33,11,0,0,8.35,15463
Trevor Megill,CHC,23.2,36,30,8,1,0,8.37,17722
Miguel Yajure,PIT,15,17,11,7,0,0,8.4,21111
Jesse Biddle,ATL,10.2,10,11,8,0,0,8.44,11437
Alberto Baldonado,WSN,10.2,10,12,7,0,0,8.44,11812
Shaun Anderson,- - -,23.1,36,19,12,0,0,8.49,19453
Justin Lawrence,COL,16.2,21,17,19,1,0,8.64,17639
Jerad Eickhoff,NYM,19.2,30,13,10,0,0,8.69,12664
Wes Benjamin,TEX,22.2,29,19,17,0,0,8.74,19243
Nick Nelson,NYY,14.1,15,22,16,0,0,8.79,20153
Luis Oviedo,PIT,29.2,33,31,26,1,0,8.8,21728
Luis Madero,MIA,12,13,4,8,0,0,9,20399
Seth Frankoff,ARI,14.2,20,11,9,0,0,9.2,11346
Shelby Miller,- - -,12.2,16,8,11,0,0,9.24,10197
Glenn Otto,TEX,23.1,32,28,8,0,0,9.26,21366
Sean Guenther,MIA,20.1,31,15,10,0,0,9.3,20045
