Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Nattino Diplan,MIL,25,1,1,4.44304366,21,0,0,0,0,1,,26.1,133,33,21,13,2,20,1,5,3,0,23,sa737469
Anyelo Gomez,BOS,26,0,0,3.115384587,19,0,0,0,0,1,,26,114,15,10,9,1,15,1,5,1,0,19,sa737475
Cristofer Ogando,TBR,25,3,2,2.627025673,38,0,0,0,8,3,,61.2,256,40,22,18,6,34,0,4,7,2,70,sa737479
Felix Bautista,BAL,24,2,3,3.436360478,26,0,0,0,5,5,,36.2,163,28,21,14,2,23,0,1,8,0,48,sa737480
Adonis Uceta,NYM,25,5,3,2.184972428,38,1,0,0,7,2,,57.2,232,46,16,14,4,19,1,1,0,0,57,sa737486
Ian Clarkin,CHC,24,0,0,3.375008529,10,0,0,0,1,0,,13.1,59,12,6,5,0,9,0,2,2,0,5,sa737534
Matt Krook,TBR,24,2,3,4.5,32,18,0,0,0,2,,50,225,46,28,25,3,32,0,3,9,0,52,sa737535
Andrew Church,NYM,24,0,3,6.657535182,5,4,0,0,0,1,,24.1,108,37,21,18,5,4,1,0,2,0,19,sa737545
Akeem Bostick,HOU,24,4,5,7.282160904,21,12,0,0,0,0,,80.1,386,98,70,65,19,42,0,6,7,0,73,sa737616
Casey Meisner,SFG,24,6,6,5.236363636,26,18,0,0,1,1,,110,495,120,70,64,20,45,1,10,6,1,83,sa737630
Yapson Gomez,CLE,25,3,6,2.39719733,47,0,0,0,8,4,,71.1,283,59,29,19,3,19,2,2,3,2,72,sa737676
Sean Brady,CLE,25,6,13,4.268994726,27,27,1,1,0,0,,162.1,694,167,89,77,16,51,0,10,6,0,97,sa737808
Conner Greene,KCR,24,4,9,5.127597977,29,16,0,0,1,1,,112.1,503,115,80,64,13,54,0,9,21,1,95,sa737829
Stephen Woods Jr.,TBR,24,9,3,1.87644865,18,12,0,0,0,0,,86.1,357,71,25,18,2,33,0,7,7,0,79,sa737853
Adrian De Horta,LAA,24,0,2,5.331213624,18,8,0,0,1,0,,52.1,224,41,31,31,11,33,0,1,2,1,76,sa737857
Taylor Grover,BAL,28,0,1,5.268279693,12,0,0,0,0,1,,13.2,60,17,10,8,2,5,1,0,2,0,12,sa737866
Trevor Clifton,CHC,24,4,8,5.181818182,24,20,0,0,0,1,,99,454,98,63,57,20,50,5,11,6,0,84,sa737901
Jake Brentz,PIT,24,1,1,4.272146845,41,0,0,0,8,0,,52.2,236,54,27,25,5,28,0,3,2,0,59,sa737925
Matt Ball,LAA,24,1,5,4.805088629,22,15,0,0,0,2,,78.2,348,81,44,42,11,41,0,2,10,1,88,sa737933
Ty Boyles,CIN,23,2,2,4.363636364,47,0,0,0,1,3,,66,295,65,33,32,9,34,1,8,6,0,64,sa737945
Alex Schick,MIN,24,5,2,6.081081081,22,0,0,0,0,1,,37,167,30,27,25,5,26,2,5,1,0,44,sa738140
Ryan Hendrix,CIN,24,4,0,1.849317629,20,2,0,0,2,1,,24.1,98,15,7,5,0,8,0,2,1,0,31,sa738145
Joe Gunkel,MIA,27,9,2,3.593523799,21,15,0,0,1,0,,92.2,384,92,41,37,11,16,0,5,0,0,68,sa738176
Hever Bueno,TEX,24,4,1,2.142857143,25,0,0,0,0,2,,42,172,25,11,10,2,22,0,2,2,1,54,sa738180
Matt Whitehouse,CLE,28,5,5,5.466939994,32,8,0,0,0,0,,80.2,368,87,54,49,8,39,2,8,7,0,90,sa738202
Jordan Sheffield,LAD,24,4,5,3.272727386,49,2,0,0,13,3,,55,237,32,21,20,5,43,0,2,6,0,74,sa738245
Daniel Procopio,LAA,23,0,0,5.108107425,16,0,0,0,0,0,,24.2,108,29,18,14,2,9,0,0,2,0,17,sa738270
Ty Damron,OAK,24,1,0,1.813431468,26,0,0,0,1,0,,44.2,165,19,9,9,2,18,0,5,2,1,56,sa738284
Cale Coshow,NYY,26,2,1,5.282620305,14,0,0,0,2,0,,15.1,72,16,13,9,3,10,0,1,2,0,22,sa738313
Ian McKinney,SEA,24,13,5,3.033046478,28,28,1,0,0,0,,151.1,631,121,61,51,11,59,0,16,9,0,168,sa738318
Matt Brill,ARI,24,4,5,5.113636585,42,0,0,0,8,6,,44,207,41,36,25,1,27,2,7,12,0,53,sa738328
Travis Seabrooke,BAL,23,2,2,7.5,14,0,0,0,2,2,,24,109,30,23,20,7,11,0,1,3,0,22,sa738330
Alec Hansen,CHW,24,2,2,4.643306292,39,1,0,0,1,1,,52.1,241,44,32,27,5,44,2,2,6,1,66,sa738344
Cory Thompson,CIN,24,7,1,3.33708044,45,0,0,0,0,1,,59.1,251,57,28,22,10,18,2,2,9,0,52,sa738349
Matt Pierpont,COL,28,2,2,2.647058824,25,0,0,0,0,1,,34,151,36,10,10,5,14,0,2,0,0,33,sa738366
Austin Coley,PIT,26,2,2,3.621955685,18,4,0,0,0,1,,27.1,130,37,17,11,1,10,0,5,2,0,22,sa738368
Bud Jeter,ARI,27,1,1,3.970587637,16,0,0,0,0,0,,22.2,105,22,10,10,0,13,1,2,3,0,21,sa738369
Tyler Alexander,OAK,27,6,6,5.754096346,29,18,0,0,0,1,,101.2,442,102,69,65,25,42,1,4,1,0,110,sa738376
Dillon McNamara,SFG,27,1,2,3.640449048,28,0,0,0,0,3,,29.2,135,28,13,12,3,19,0,0,6,1,28,sa738389
Jordan Mills,WSN,27,6,3,4.638039523,45,0,0,0,0,1,,54.1,254,55,35,28,4,25,3,8,3,0,71,sa738394
Robert Tyler,COL,24,1,0,8.162781103,28,0,0,0,1,0,,28.2,143,36,28,26,4,20,1,1,6,0,36,sa738415
Dusten Knight,MIN,28,1,0,1.588240016,7,0,0,0,5,0,,11.1,41,4,2,2,1,3,1,1,0,0,14,sa738418
Chris Dula,MIL,26,0,0,20.64704681,14,0,0,0,0,0,,11.1,71,16,27,26,3,20,0,3,6,0,13,sa738420
Kyle Serrano,HOU,23,0,5,9.5625,16,15,0,0,0,1,,16,93,13,24,17,1,31,0,1,8,1,26,sa738435
Logan Shore,DET,24,4,7,3.432989691,23,16,1,0,0,0,,97,408,91,41,37,8,39,0,5,6,0,58,sa738442
Jake Stinnett,CHC,27,1,6,5.005620659,31,5,0,0,0,2,,59.1,263,53,40,33,6,29,0,9,6,1,67,sa738473
Scott Burke,BAL,25,2,2,3.375001749,32,1,0,0,2,0,,61.1,253,54,25,23,10,18,0,3,1,0,49,sa738474
A.J. Bogucki,WSN,24,0,0,5.170201646,9,0,0,0,0,0,,15.2,79,20,9,9,1,12,0,0,3,1,19,sa738484
Ben Hecht,CHC,24,1,3,2.793103448,42,1,0,0,5,4,,58,245,47,20,18,6,28,0,5,9,0,71,sa738501
Dalton Moats,TBR,24,2,3,3.168369074,42,2,0,0,6,0,,65.1,272,60,30,23,8,24,4,1,4,0,62,sa738506
Garrett Williams,SFG,24,7,8,3.6,29,20,0,0,0,0,,110,486,88,50,44,6,61,3,15,11,2,108,sa738512
Griffin Jax,MIN,24,5,7,2.897913341,23,23,0,0,0,0,,127.1,521,117,48,41,7,27,0,8,5,1,94,sa738570
Jake Bray,OAK,26,2,3,5.340656542,35,1,0,0,4,1,,60.2,278,63,37,36,12,32,1,2,2,0,74,sa738576
Tyler Viza,PHI,24,1,8,7.342105263,20,17,0,0,0,0,,76,371,111,75,62,18,23,0,8,3,1,69,sa738610
Jordan Milbrath,MIA,27,2,3,3.837561483,36,1,0,0,2,0,,65.2,289,60,36,28,8,26,0,10,6,0,72,sa738636
Cole Stapler,ARI,24,7,6,3.048387097,25,21,0,0,1,0,,124,498,118,46,42,11,17,0,3,6,0,126,sa738639
Ryan Moseley,LAD,24,6,3,2.337662338,47,1,0,0,5,1,,77,329,66,33,20,4,35,0,4,8,0,70,sa738670
Nick Green,NYY,24,3,6,6.668010582,18,16,0,0,0,0,,82.1,388,103,69,61,3,37,1,7,15,1,63,sa738690
Connor Jones,STL,24,1,1,4.470201499,43,0,0,0,9,2,,50.1,237,54,29,25,5,35,0,3,11,0,50,sa738697
Caleb Simpson,SFG,27,2,5,3,34,0,0,0,1,2,,42,181,20,17,14,2,30,2,6,10,0,56,sa738717
Alec Byrd,CIN,24,3,0,2.229355528,21,0,0,0,0,2,,36.1,146,34,10,9,1,8,0,2,9,0,40,sa738733
Zack Brown,MIL,24,3,7,5.785697764,25,23,0,0,0,0,,116.2,540,138,86,75,16,64,1,5,11,1,98,sa738901
Scott Moss,CLE,24,10,6,2.96173393,26,26,2,0,0,0,,130.2,550,99,50,43,8,70,0,3,3,0,159,sa738902
