Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
JB Shuck,PIT,32,0,0,3.789473684,14,2,0,0,0,0,,19,90,15,8,8,3,17,0,2,2,0,23,6677
Sam Freeman,WSN,32,1,1,6.289769319,40,0,0,0,3,2,,58.2,278,81,48,41,11,30,0,1,5,0,53,6832
Johnny Cueto,SFG,33,0,2,3.375005331,6,6,0,0,0,0,,21.1,84,20,10,8,3,1,0,1,1,1,21,6893
Drew Storen,KCR,31,0,1,7.838735239,9,0,0,0,0,0,,10.1,50,15,9,9,1,5,0,2,1,0,12,6983
Pat Venditte,SFG,34,6,2,2.852114592,25,1,0,0,0,2,,47.1,191,31,19,15,5,17,0,3,0,0,59,7108
Jonny Venters,ATL,34,0,0,0.642857143,17,0,0,0,0,0,,14,58,9,1,1,0,8,0,1,0,0,10,7175
Preston Guilmet,MIN,31,2,6,4.931506849,44,6,0,0,8,2,,73,311,74,46,40,13,22,4,1,5,0,94,7303
Dan Otero,CLE,34,0,0,2.250004266,15,1,0,0,0,0,,16,59,10,4,4,4,2,0,0,0,0,10,7385
Austin Adams,DET,32,1,3,5.770987913,29,2,0,0,2,1,,43.2,191,42,29,28,9,16,0,3,5,0,48,7411
Bradin Hagens,ARI,30,4,2,6.030453583,22,6,0,0,0,0,,65.2,299,73,52,44,10,37,1,1,8,0,45,7422
Jay Jackson,MIL,31,5,2,1.327867814,34,0,0,0,8,1,,40.2,160,28,10,6,1,10,1,1,2,0,54,7432
Gio Gonzalez,MIL,33,2,1,5.399999208,5,5,0,0,0,0,,21.2,96,28,13,13,2,6,0,0,2,0,25,7448
Tommy Layne,STL,34,3,1,6.451321989,34,0,0,0,0,2,,37.2,177,44,31,27,8,18,1,5,1,0,37,7501
Nick Vincent,SFG,32,0,0,0.900001368,17,3,0,0,0,0,,20,79,16,2,2,1,1,0,1,0,0,25,7555
Fernando Rodriguez Jr.,SDP,35,2,1,5.90625,18,3,0,0,4,2,,32,141,31,21,21,6,16,1,1,5,0,40,7558
Tommy Milone,SEA,32,4,2,3.83108355,9,8,1,1,0,0,,49.1,211,49,26,21,7,12,0,2,0,0,43,7608
Carlos Torres,SFG,36,5,3,4.331555264,32,3,0,0,1,4,,62.1,267,64,30,30,7,23,0,3,5,0,54,7624
Neil Ramirez,TOR,30,2,1,4.595749623,27,0,0,0,2,1,,31.1,137,29,17,16,7,11,0,4,1,0,48,7677
Jerry Blevins,OAK,35,0,0,1.687494669,7,0,0,0,0,0,,10.2,44,9,2,2,2,4,0,0,0,0,16,7841
Anthony Bass,CIN,31,1,1,2.213118422,19,0,0,0,9,3,,20.1,80,13,7,5,1,6,1,0,0,0,19,7982
Dan Jennings,NYY,32,1,0,6.299999925,7,2,0,0,0,1,,10,43,12,7,7,3,0,0,0,1,0,10,8073
Paolo Espino,WSN,32,8,4,5.586209138,19,17,0,0,0,0,,96.2,413,101,63,60,15,25,0,5,1,0,102,8246
Casey Coleman,NYM,31,1,7,5.845357606,19,15,0,0,0,0,,64.2,296,79,44,42,13,27,0,6,1,0,53,8270
JC Ramirez,LAA,30,1,3,6.5625,16,10,0,0,0,0,,48,218,57,37,35,10,20,0,5,4,0,33,8302
Lucas Luetge,ARI,32,9,3,2.382352941,55,0,0,0,1,1,,68,278,57,25,18,4,21,2,6,5,0,74,8337
Deolis Guerra,MIL,30,4,0,1.889998991,45,1,0,0,0,2,,66.2,256,43,19,14,5,16,1,2,3,0,88,8410
Jenrry Mejia,BOS,29,2,8,6.018072635,49,0,0,0,8,6,,55.1,243,60,39,37,10,17,0,3,9,1,58,8476
Buddy Boshers,TOR,31,0,2,2.783507891,25,0,0,0,5,3,,32.1,137,27,13,10,3,14,0,2,2,0,35,8490
Michael Kohn,ARI,33,2,2,4.03447712,27,0,0,0,9,2,,29,121,17,15,13,4,13,1,5,2,0,50,8505
Rob Wooten,CIN,33,1,3,6.249994702,9,9,0,0,0,0,,36,160,43,27,25,5,8,0,3,0,0,30,8532
Tyler Cloyd,SEA,32,2,8,7.424996035,15,13,0,0,0,0,,66.2,321,95,56,55,14,29,0,4,2,0,69,8536
Justin Miller,WSN,32,0,1,2.953119895,18,1,0,0,0,0,,21.1,82,14,8,7,5,3,0,0,0,0,29,8580
Oliver Drake,TBR,32,1,2,4.943654933,19,2,0,0,6,0,,23.2,95,20,13,13,2,7,0,1,0,0,40,8823
Brandon Beachy,SFG,32,3,7,6.218178584,12,11,0,0,0,0,,55,245,58,40,38,7,20,0,4,1,0,51,8851
Arquimedes Caminero,NYM,32,0,2,5.094329906,17,0,0,0,8,1,,17.2,80,18,11,10,4,10,0,2,2,0,15,8992
J.J. Hoover,WSN,31,6,6,8.466895804,30,16,0,0,0,2,,95.2,456,127,97,90,26,40,0,3,6,0,89,9037
Jeremy Bleich,BOS,32,4,3,4.169120746,30,4,0,0,0,2,,45.1,203,49,23,21,5,17,2,5,4,0,50,9069
Tim Melville,COL,29,10,5,5.418687124,18,17,0,0,0,0,,96.1,444,113,64,58,24,40,2,8,5,1,94,9149
Kyle Lobstein,OAK,29,6,4,4.748746267,43,1,0,0,2,1,,66.1,296,67,39,35,6,32,1,4,4,0,66,9178
Alex Wilson,CHC,32,5,3,2.860929068,39,0,0,0,3,1,,50.1,201,45,18,16,10,9,1,1,1,0,42,9239
Daniel Corcino,LAD,28,8,8,4.902248323,24,21,1,0,0,0,,119.1,527,112,69,65,25,61,0,8,4,0,105,9266
Zac Rosscup,STL,31,0,1,5.39999897,17,0,0,0,1,0,,16.2,81,15,10,10,1,18,1,0,4,0,23,9419
Dallas Keuchel,ATL,31,0,0,1.928571429,2,2,0,0,0,0,,14,54,12,3,3,0,2,0,0,1,0,13,9434
Dan Straily,BAL,30,5,4,3.76119403,12,12,0,0,0,0,,67,275,57,31,28,9,17,1,3,1,0,68,9460
George Kontos,WSN,34,2,1,6.065217391,31,1,0,0,0,0,,46,211,60,36,31,7,18,0,0,4,0,37,9486
Austin Bibens-Dirkx,TEX,34,2,3,7.982615315,8,8,0,0,0,0,,38.1,178,49,35,34,11,15,0,1,3,0,33,9559
Brian Moran,MIA,30,2,3,3.15,43,1,0,0,0,3,,60,252,45,25,21,6,26,2,7,4,2,77,9646
Michael Blazek,WSN,30,2,2,6.051719163,34,1,0,0,1,3,,38.2,178,44,31,26,9,16,0,1,5,0,42,9654
Vidal Nuno,TBR,31,2,3,7.442307692,45,3,0,0,2,1,,52,253,71,48,43,9,24,3,5,1,1,58,9674
Louis Coleman,NYM,33,0,0,5.926814655,12,0,0,0,0,0,,13.2,60,12,9,9,1,8,0,0,1,0,12,9720
David Hale,NYY,31,3,2,4.13264904,7,7,1,0,0,0,,32.2,145,36,17,15,3,10,0,2,1,0,30,9756
James Jones,TEX,30,2,1,2.671876194,45,0,0,0,2,0,,64,267,44,25,19,6,30,1,7,6,0,71,9767
Rex Brothers,NYY,31,0,3,4.623284651,36,2,0,0,0,1,,48.2,222,38,25,25,6,37,0,4,13,0,88,9794
Chris Rusin,COL,32,4,4,4.954126013,25,10,0,0,0,1,,72.2,330,91,52,40,7,24,2,3,5,0,47,9895
Justin Lasko,NYM,22,4,5,2.138611721,21,1,0,0,1,3,,33.2,130,25,13,8,3,6,0,1,1,0,28,sa1052944
Josh Simpson,MIA,21,1,0,2.25,16,0,0,0,2,1,,24,100,20,8,6,0,6,1,1,3,0,26,sa1053035
Jake Agnos,NYY,21,1,2,5.25,5,4,0,0,0,0,,12,57,14,9,7,0,4,0,0,1,0,15,sa1054040
Tyler Baum,OAK,21,0,3,4.695647014,11,11,0,0,0,0,,30.2,128,29,18,16,4,7,0,2,2,0,34,sa1054042
Greg Veliz,LAA,22,2,2,3.681809723,19,0,0,0,2,0,,29.1,122,23,18,12,2,9,0,3,3,0,36,sa1054455
Aaron Perry,BOS,20,0,2,3,9,5,0,0,0,0,,21,93,11,9,7,0,19,0,2,2,0,18,sa1055363
Jake Lyons,BAL,20,2,5,2.867254217,14,7,0,0,0,0,,37.2,158,32,20,12,1,10,0,3,2,1,39,sa1055560
Austin Crowson,PHI,22,5,1,2.820899779,13,0,0,0,0,0,,22.1,91,14,9,7,1,12,0,1,2,0,17,sa1055713
Griffin McLarty,BAL,20,2,0,2.779407633,14,0,0,0,0,0,,22.2,92,19,7,7,0,5,0,2,2,0,25,sa1115734
Anthony Veneziano,KCR,21,3,4,5.592853333,13,11,0,0,1,0,,46.2,219,65,35,29,6,13,0,3,4,0,44,sa1115745
Zach Kohn,NYY,21,1,1,2.612911746,6,0,0,0,0,0,,10.1,43,7,4,3,0,3,0,1,1,0,15,sa1115756
Dylan Thomas,MIN,22,3,2,1.852941176,22,0,0,0,4,2,,34,146,37,13,7,1,11,2,0,4,0,33,sa1115767
Ken Waldichuk,NYY,21,0,2,3.681822411,10,10,0,0,0,0,,29.1,115,19,12,12,2,7,0,1,5,0,49,sa1115814
Jack Little,LAD,21,0,1,3.272727273,11,11,0,0,0,0,,22,93,13,11,8,3,14,0,1,2,0,21,sa1115817
Brady Basso,OAK,21,0,0,1.753244451,15,1,0,0,0,0,,25.2,106,20,9,5,0,8,0,2,1,1,38,sa1115881
Owen Griffith,MIN,21,0,0,0.771426343,7,1,0,0,1,0,,11.2,45,7,1,1,0,6,0,0,0,0,15,sa1115899
Carter Bach,TBR,21,0,0,5.181818182,16,1,0,0,2,0,,33,160,42,25,19,3,20,0,2,5,1,25,sa1115936
John Doxakis,TBR,20,0,0,1.928569552,12,10,0,0,0,0,,32.2,130,20,8,7,0,11,0,3,0,0,31,sa1115967
Ricky DeVito,ATL,20,1,2,3.436360478,12,8,0,0,0,0,,36.2,162,34,19,14,3,16,0,4,3,0,35,sa1116003
Bryce Tucker,SFG,22,1,1,1.285716154,18,0,0,0,5,0,,21,80,8,5,3,1,8,0,1,1,1,33,sa1119388
Zach Greene,NYY,22,1,1,1.5,14,0,0,0,5,1,,18,69,11,5,3,0,4,0,1,0,0,24,sa1119415
Hunter Milam,PHI,19,2,3,4.304347826,9,4,0,0,0,1,,23,99,14,11,11,2,14,0,1,3,0,30,sa1119630
Keegan McCarville,MIL,21,2,2,1.718180329,20,0,0,0,0,1,,36.2,146,27,9,7,2,8,1,1,3,0,46,sa1119731
Ben Gross,MIN,22,3,3,4.299365669,11,11,0,0,0,0,,52.1,226,56,30,25,3,14,0,3,9,0,49,sa1119979
Reid Anderson,NYY,23,6,1,3.085712184,11,6,0,0,0,0,,46.2,191,36,17,16,1,17,0,4,5,0,51,sa1120125
Ryan Smith,LAA,21,0,2,5.259733354,19,0,0,0,0,2,,25.2,113,25,17,15,5,12,0,1,1,0,37,sa1159711
Corey Gaconi,NYM,22,4,1,4.300881326,14,0,0,0,0,1,,37.2,152,40,18,18,3,3,0,0,3,0,27,sa1159891
Easton Lucas,MIA,22,1,2,3.634611852,13,9,0,0,0,0,,34.2,139,29,14,14,3,9,0,2,1,0,41,sa1159925
Alec Marsh,KCR,21,0,1,4.050003862,13,13,0,0,0,0,,33.1,132,30,16,15,5,4,0,0,3,0,38,sa1159950
Tim Elliott,SEA,21,1,3,3.857147142,14,11,0,0,0,1,,30.1,132,29,17,13,1,13,0,1,5,0,35,sa1169632
Kasey Kalich,ATL,21,1,1,1.246151908,14,0,0,0,1,0,,21.2,85,10,4,3,0,11,0,0,3,0,24,sa1169633
Karan Patel,CHW,22,3,3,3.896911048,18,0,0,0,1,4,,32.1,141,34,20,14,1,7,0,1,6,0,38,sa1169765
Connor Gillispie,BAL,21,0,0,1.770494737,14,0,0,0,4,1,,20.1,76,13,4,4,0,5,1,1,0,0,21,sa1169801
Nate Pawelczyk,CHW,22,2,0,3.807692308,21,0,0,0,1,1,,26,111,30,13,11,0,8,0,3,3,0,26,sa1169852
Jake Stevenson,CIN,22,1,1,3.09836579,18,0,0,0,5,1,,20.1,96,18,12,7,1,14,1,1,3,0,31,sa1169857
Chad Sykes,LAA,23,2,1,3.337078294,18,0,0,0,1,0,,29.2,126,20,13,11,1,13,0,2,5,0,38,sa1169870
Mitch Spence,NYY,21,2,3,3.535714286,16,0,0,0,4,1,,28,103,16,13,11,1,4,1,0,1,0,29,sa1169885
Anthony Maldonado,MIA,21,2,1,1.588240016,10,0,0,0,2,1,,11.1,43,6,3,2,0,1,0,1,2,0,15,sa1169893
Shelton Perkins,BAL,22,1,1,2.037731962,15,0,0,0,1,1,,17.2,68,4,4,4,2,10,0,1,0,0,23,sa1169965
Adam Leverett,PHI,20,1,2,4.218753992,11,6,0,0,0,0,,32,141,35,17,15,3,13,0,1,4,2,28,sa1169991
Edgar Barclay,NYY,21,2,0,2.076925515,12,0,0,0,1,0,,26,111,23,7,6,0,8,0,2,3,0,29,sa1170012
Amos Willingham,WSN,20,1,4,3.666666667,12,2,0,0,1,1,,27,113,28,11,11,1,4,0,2,4,0,18,sa1170021
Shaine McNeely,NYY,21,2,0,1.2,9,0,0,0,1,0,,15,57,8,2,2,1,6,0,0,1,0,14,sa1170032
Evan Voliva,NYY,23,0,2,1.999997739,16,0,0,0,2,2,,27,109,16,9,6,1,10,1,3,0,0,34,sa1170073
Tyler Garbee,CIN,22,2,2,3.829787234,15,5,0,0,2,0,,47,196,48,23,20,3,11,0,0,6,1,52,sa1170086
Tyler Yankosky,WSN,21,2,3,5.815375571,15,0,0,0,1,1,,21.2,102,22,16,14,0,14,0,0,3,0,11,sa1170108
Michael YaSenka,STL,21,3,2,1.148936124,10,8,1,0,0,0,,47,185,30,12,6,1,13,0,4,5,0,49,sa1170117
Tanner Jesson-Dalton,CHC,22,1,0,3.283779298,15,0,0,0,1,1,,24.2,104,24,10,9,0,8,0,1,5,0,26,sa1170121
Vince Coletti,OAK,22,1,1,4.939030479,16,0,0,0,0,0,,27.1,123,33,17,15,1,8,2,0,4,0,22,sa1170123
Clayton McGinness,BAL,22,1,1,2.076919847,11,3,0,0,2,0,,21.2,84,18,5,5,2,3,0,1,1,0,24,sa1170265
Adrian Mardueno,STL,21,3,2,3.588605429,13,11,0,0,0,0,,52.2,220,51,23,21,5,20,0,0,1,1,38,sa1170287
Matt Stil,KCR,18,0,3,6.3,9,0,0,0,0,2,,10,47,9,11,7,2,10,0,0,5,0,15,sa1170297
Andrew Blake,LAA,21,1,0,8.723063357,17,0,0,0,1,0,,21.2,106,24,22,21,3,18,0,1,1,0,32,sa1170307
Eddy Tavarez,MIL,24,2,4,1.367090357,21,0,0,0,3,0,,26.1,116,11,9,4,0,25,0,4,11,0,34,sa1170313
Codie Paiva,MIA,22,1,1,2.189186199,14,0,0,0,3,1,,24.2,109,22,11,6,0,7,0,1,3,0,24,sa1170318
JC Keys,CIN,22,1,1,3.767450717,5,3,0,0,0,0,,14.1,62,12,7,6,0,7,0,1,0,0,21,sa1170341
Jack Cushing,OAK,22,3,6,6,13,7,0,0,0,0,,42,195,51,32,28,6,22,0,1,5,0,25,sa1170342
Shea Barry,HOU,21,2,1,3.056597944,13,0,0,0,2,1,,17.2,88,14,14,6,0,16,0,2,5,0,21,sa1170345
Alex Smith,KCR,22,1,3,3.983613159,14,0,0,0,0,1,,20.1,91,15,12,9,1,14,0,1,3,0,29,sa1170347
Matthew Swain,MIN,21,1,0,4.655180527,11,2,0,0,3,0,,19.1,90,22,13,10,1,10,0,1,2,0,21,sa1170357
Jayden Murray,TBR,22,1,2,2.454547389,12,9,0,0,1,0,,40.1,157,31,11,11,4,8,0,3,3,0,47,sa1170405
Ryan Troutman,PIT,22,1,3,5.869565217,14,0,0,0,2,1,,23,112,27,16,15,4,12,0,2,1,0,26,sa1170406
Dillon McCollough,BAL,23,2,3,2.634139847,10,0,0,0,0,0,,13.2,60,12,5,4,0,10,0,0,1,0,13,sa1170414
Austin Wahl,OAK,24,2,0,10.7999832,18,0,0,0,0,1,,21.2,116,30,28,26,1,21,1,4,14,0,27,sa1170419
Zack Phillips,KCR,20,4,1,2.150440663,20,0,0,0,2,1,,37.2,152,29,11,9,2,10,0,2,4,0,29,sa1170425
Shane Kelso,LAA,21,2,1,2.17742324,17,0,0,0,2,2,,20.2,90,14,7,5,0,15,0,3,7,0,34,sa1170430
Trey McGough,PIT,21,3,1,3.857150815,18,0,0,0,1,1,,32.2,139,31,16,14,2,9,0,0,5,0,41,sa1170436
Matt Gill,CIN,21,2,3,7.087491044,18,0,0,0,2,3,,26.2,137,44,31,21,1,9,0,1,4,0,25,sa1170441
Tyler Adams,PHI,21,3,1,6.061236994,13,0,0,0,0,1,,16.1,83,19,19,11,0,14,0,1,4,0,13,sa1170483
Bear Bellomy,PIT,22,1,1,2.830647469,16,5,0,0,4,0,,41.1,168,41,15,13,3,11,0,0,1,0,40,sa1170484
Chris Kachmar,CHC,22,5,0,1.776318152,14,0,0,0,0,0,,25.1,102,15,5,5,1,15,0,2,2,0,36,sa1170503
Samson Abernathy,PIT,23,1,3,2.52,17,0,0,0,8,0,,25,105,15,10,7,1,12,1,3,3,0,33,sa1170509
Brock Minich,SEA,22,0,5,6,17,0,0,0,0,1,,21,103,18,18,14,3,16,1,6,4,1,20,sa1170519
Whit Drennan,HOU,22,1,1,9.450023882,10,0,0,0,0,1,,13.1,63,14,14,14,0,10,0,3,4,0,17,sa1170576
Andrew Edwards,NYM,22,3,2,3.3,16,0,0,0,3,1,,30,126,23,12,11,2,14,0,4,6,0,35,sa1170614
Dan Serreino,CIN,23,0,1,6.749987815,13,0,0,0,1,1,,18.2,79,15,14,14,2,12,0,0,4,0,18,sa1170719
Dylan Pearce,STL,22,1,2,4.354831609,14,0,0,0,2,2,,20.2,94,24,14,10,3,10,0,0,4,0,29,sa1170752
Patrick Smith,KCR,22,2,0,3.780003605,21,0,0,0,1,0,,33.1,143,32,17,14,2,15,1,3,5,0,31,sa1170802
Luis Quinones,TOR,21,2,2,2.945457508,12,4,0,0,1,0,,36.2,145,17,14,12,2,19,0,2,5,0,57,sa1170867
Charles Hall,OAK,24,3,1,4.456311108,13,4,0,0,0,0,,34.1,138,26,19,17,1,10,0,2,5,0,42,sa1170906
Tanner Cooper,CIN,19,1,0,2.209088994,15,0,0,0,2,1,,36.2,142,23,11,9,1,12,0,1,1,0,42,sa1170930
Mitchell Walters,TBR,21,1,0,3.681822411,18,0,0,0,2,1,,29.1,123,25,14,12,4,11,1,2,7,0,28,sa1170944
Zach Rafuse,OAK,22,3,1,2.454545455,14,0,0,0,0,2,,33,127,27,9,9,0,8,0,0,0,0,32,sa1170952
Chase Wheatcroft,OAK,22,0,1,6,16,0,0,0,1,0,,27,126,39,22,18,2,7,2,3,5,0,29,sa1171001
David Leal,OAK,22,6,0,1.727998682,16,1,0,0,0,1,,41.2,155,25,11,8,0,4,0,4,2,0,52,sa1171029
Steve Pastora,MIL,24,1,1,2.368421053,14,0,0,0,0,1,,19,86,18,14,5,3,10,0,1,3,0,19,sa1171765
Pedro Santos,OAK,19,2,3,4.604651163,15,11,0,0,0,0,,43,209,45,27,22,0,34,0,6,11,2,49,sa1171936
Anthony Zimmerman,CIN,22,0,2,7.941176471,12,0,0,0,1,1,,17,83,18,16,15,2,9,0,3,3,1,20,sa1171993
Jian Yi,MIL,18,0,3,7.578947368,15,0,0,0,0,2,,19,94,30,19,16,1,7,1,0,4,1,19,sa1171995
Luis Ortiz,PIT,20,2,2,4.085523752,11,11,0,0,0,0,,50.2,223,48,31,23,4,24,0,3,10,0,37,sa1172057
Luis Carrasco,OAK,17,0,0,6.906992982,6,4,0,0,0,0,,14.1,66,19,11,11,0,4,0,1,3,2,12,sa1172127
Andy Fisher,CIN,23,3,3,1.914893617,16,2,0,0,0,1,,47,183,31,14,10,2,7,0,4,1,0,58,sa1172135
Kyle Huckaby,TOR,23,1,2,4.909084464,19,0,0,0,3,2,,25.2,115,24,16,14,2,13,3,3,1,0,26,sa1172137
Gerald Garcia,OAK,17,0,2,5.321164179,14,12,0,0,0,0,,45.2,200,55,33,27,3,12,0,1,4,0,57,sa1172141
Ryan Allain,TBR,22,0,3,7.04349374,12,0,0,0,1,3,,15.1,78,16,15,12,1,14,1,4,13,0,18,sa1172198
Nick Belzer,MIL,23,3,1,3.698627721,10,6,0,0,0,0,,48.2,192,42,22,20,3,14,0,2,8,2,41,sa1172214
Brock Whittlesey,OAK,22,5,3,4.5,18,0,0,0,1,1,,28,122,35,21,14,0,4,0,4,1,0,29,sa1172219
Ian Exposito,MIL,23,3,2,3.048382126,10,6,0,0,0,0,,41.1,176,45,16,14,0,17,0,2,5,0,51,sa1172530
Matt Beattie,DET,20,1,2,7.8,10,1,0,0,0,0,,15,80,20,21,13,2,15,0,3,5,0,14,sa1172726
Tyler Burch,PHI,21,4,1,1.514017342,12,4,0,0,1,0,,35.2,138,29,8,6,2,6,0,1,1,1,34,sa1172727
Albertus Barber,PHI,23,4,0,0.870969296,17,0,0,0,1,0,,20.2,77,16,2,2,0,5,0,0,1,0,23,sa1172728
Neraldo Catalina,TBR,19,3,3,2.142857143,11,1,0,0,0,0,,21,97,20,12,5,0,9,1,7,6,0,23,sa1172730
Riley Wilson,PHI,22,0,1,2.907687786,14,0,0,0,2,1,,21.2,86,16,10,7,0,5,0,1,1,0,21,sa1172801
Ryan Anderson,NYY,20,0,1,4.78125,11,8,0,0,0,0,,32,139,30,19,17,4,16,0,2,5,0,43,sa1172845
Jake Gilbert,CIN,22,1,4,5.299060414,13,6,0,0,1,0,,35.2,160,37,24,21,3,11,0,6,5,0,50,sa1172846
Rodolfo Martinez,SFG,25,0,4,4.563373784,34,0,0,0,4,3,,47.1,216,51,30,24,1,27,3,2,8,1,52,sa206642
Hector Villalobos,STL,22,4,1,2.877046931,20,0,0,0,2,0,,40.2,167,32,16,13,2,13,0,2,2,0,44,sa3002572
Fernando Sanchez,MIN,19,1,0,1.8,8,1,0,0,2,0,,10,41,7,2,2,1,3,0,1,1,0,6,sa3002605
Jesus Toledo,MIN,19,2,1,4.183092636,10,2,0,0,0,0,,23.2,105,22,14,11,1,12,0,3,1,1,27,sa3002606
Niomar Gomez,WSN,20,1,6,5.1923074,13,13,0,0,0,0,,60.2,283,71,45,35,6,28,0,5,3,1,69,sa3002607
Thony Amoroso,WSN,20,0,0,0,7,0,0,0,2,0,,11.2,44,4,1,0,0,3,0,3,1,0,14,sa3002608
Yeremi Garcia,MIN,19,0,2,5.785708655,13,5,0,0,1,0,,32.2,145,33,22,21,6,16,0,4,2,0,27,sa3002611
Junior Navas,MIN,19,1,1,6.750010662,12,0,0,0,0,0,,21.1,101,23,17,16,2,13,0,5,2,0,23,sa3002612
Wilson Severino,WSN,21,1,0,5.837853788,8,0,0,0,1,0,,12.1,65,10,8,8,0,14,0,6,4,0,6,sa3002613
Joan Adon,WSN,20,11,3,3.857142857,22,21,0,0,0,1,,105,447,93,47,45,8,44,0,8,13,1,90,sa3002614
Pedro Gonzalez,WSN,18,2,6,5.661294938,13,7,0,0,2,1,,41.1,196,44,35,26,1,22,0,6,5,0,30,sa3002617
Luciano De La Cruz,MIN,20,5,3,5.006625679,17,5,0,0,2,2,,50.1,236,64,40,28,5,11,0,6,4,0,37,sa3002618
Alejandro Vallejo,WSN,20,1,2,4.068486965,19,1,0,0,1,2,,24.1,117,18,13,11,0,28,0,4,15,0,33,sa3002619
Aldemar Rivas,PHI,20,3,4,4.539819177,22,0,0,0,2,4,,37.2,175,37,26,19,1,21,1,3,2,0,36,sa3002674
Yeison Sanchez,PHI,21,4,0,2.347823507,20,0,0,0,6,0,,30.2,127,27,10,8,1,6,1,1,9,1,44,sa3002675
Ezequiel De La Cruz,ARI,20,2,1,3.807692308,19,0,0,0,0,0,,26,119,32,18,11,1,6,0,3,2,0,35,sa3002677
Luis Pacheco,PHI,20,2,1,4.453612626,11,6,0,0,0,0,,32.1,151,37,19,16,1,16,0,3,8,1,33,sa3002678
Jonas De La Cruz,PHI,21,0,1,2.76923082,8,8,0,0,0,0,,13,52,9,4,4,2,4,0,1,2,0,23,sa3002680
Antonio Cardenas,ARI,19,3,0,0.964285714,15,0,0,0,3,1,,28,115,18,10,3,1,13,0,1,6,1,33,sa3002681
Anderson Parra,CHC,20,4,4,3.24000309,16,0,0,0,0,3,,33.1,154,36,23,12,5,10,0,1,8,0,33,sa3002682
Oliver Rosario,ARI,20,1,0,4.808225836,17,0,0,0,0,0,,24.1,108,20,14,13,3,16,0,2,4,0,26,sa3002687
Wilberson Liendo,PHI,19,5,1,1.862068966,16,8,0,0,1,0,,58,234,44,16,12,1,22,0,3,11,0,59,sa3002688
Victor Martinez,ARI,19,1,1,4.125,17,0,0,0,1,1,,24,110,18,15,11,0,23,0,0,25,0,40,sa3002690
Eduardo Herrera,ARI,19,0,1,4.563379623,22,0,0,0,11,0,,23.2,103,13,12,12,1,17,0,4,0,0,38,sa3002702
Joe Kuzia,TEX,25,4,2,1.619999081,39,0,0,0,18,2,,50,208,42,12,9,2,16,4,5,5,0,53,sa3002715
Blake Battenfield,CHW,24,6,7,4.063774403,25,25,0,0,0,0,,130.2,548,138,63,59,16,34,0,7,3,0,94,sa3002734
West Tunnell,ARI,25,1,1,1.191177356,43,0,0,0,19,1,,45.1,176,28,8,6,3,21,0,1,7,0,60,sa3002749
Matt Wivinis,NYY,25,3,5,2.86092343,37,0,0,0,9,4,,50.1,215,37,26,16,3,22,0,3,3,0,55,sa3002775
Colton Hathcock,COL,23,0,3,7.593726011,13,0,0,0,1,1,,10.2,50,15,10,9,1,4,0,0,0,0,13,sa3002776
Jacob Patterson,STL,23,6,5,5.554288741,51,1,0,0,1,3,,58.1,262,66,42,36,13,18,1,4,4,0,78,sa3002777
J.B. Olson,CHW,24,1,2,5.831995551,26,0,0,0,3,3,,41.2,192,47,29,27,4,19,1,5,2,0,39,sa3002779
Gabriel Morales,SDP,20,4,1,2.294116371,12,7,0,0,0,0,,51,202,35,14,13,1,17,0,1,4,0,60,sa3002781
Kaleb Ort,NYY,27,6,0,3.397353139,35,0,0,0,4,0,,50.1,213,40,21,19,2,28,0,2,3,0,78,sa3002783
Luis Alcantara,SEA,19,1,1,6.923076923,14,0,0,0,6,2,,13,66,22,13,10,1,6,0,0,5,0,21,sa3002785
Antonio Hernandez,LAD,19,4,2,4.935483871,15,14,0,0,0,0,,62,275,71,35,34,8,16,0,4,3,1,54,sa3002788
Ricardo Hernandez,LAD,21,3,3,5.516116443,17,0,0,0,0,2,,31,135,31,21,19,2,9,0,4,3,0,33,sa3002789
Gerardo Carrillo,LAD,20,5,9,5.441860465,23,21,0,0,0,0,,86,405,87,59,52,3,51,0,17,17,0,86,sa3002790
Martin Carrasco,SDP,19,4,0,1.227271184,19,0,0,0,2,2,,29.1,124,24,13,4,0,6,0,1,6,0,48,sa3002791
Juan Then,SEA,19,1,5,2.979312422,11,9,0,0,0,0,,48.1,187,33,16,16,2,13,0,2,3,0,48,sa3002793
Aldry Acosta,LAD,19,1,0,5.0625,8,4,0,0,0,0,,16,66,14,9,9,2,7,0,0,0,0,14,sa3002794
Edward Cuello,LAD,20,5,1,2.560342596,20,0,0,0,4,3,,38.2,152,27,12,11,2,10,0,4,4,0,38,sa3002795
Jose Martinez,LAD,20,11,2,3.277043057,27,16,0,0,4,0,,126.1,510,110,52,46,9,33,0,2,6,1,115,sa3002796
Luis Eusebio,SDP,23,2,2,4.413461134,16,0,0,0,4,1,,34.2,153,32,22,17,4,15,2,2,12,1,41,sa3002799
Elias Espino,SEA,22,2,3,4.178571429,29,1,0,0,2,2,,56,246,45,33,26,8,29,1,8,4,0,57,sa3002801
Cristhopher Marte,SEA,20,1,2,2.554050565,17,0,0,0,2,0,,24.2,106,22,9,7,1,12,0,4,4,0,15,sa3002802
Jose Garcia,SDP,21,5,3,3.413793103,16,3,0,0,0,0,,58,245,66,25,22,3,12,1,0,3,1,55,sa3002804
