Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Justus Sheffield,SEA,AAA,25,0,1,9.818186074,4,2,0,0,0,0,,7.1,35,8,9,8,1,6,0,0,0,0,12,17285
Framber Valdez,HOU,AAA,27,0,1,1.285714286,2,2,0,0,0,0,,7,33,9,5,1,0,2,0,0,1,0,5,17295
Francis Martes,HOU,AAA,25,0,3,13.11428214,10,0,0,0,0,0,,11.2,65,10,21,17,3,20,1,1,4,0,13,17303
Justin Steele,CHC,AAA,25,2,0,1.317073324,9,5,0,0,0,1,,27.1,110,14,6,4,1,13,1,1,3,0,29,17312
Edgar Santana,ATL,AAA,29,2,0,9,3,0,0,0,0,1,,3,12,2,3,3,1,1,0,0,1,0,4,17355
David Paulino,PHI,AAA,27,4,3,3.663316864,28,6,0,0,2,1,,66.1,286,54,29,27,6,29,1,8,7,0,72,17418
Jeff Hoffman,CIN,AAA,28,0,0,1.76086993,4,4,0,0,0,0,,15.1,61,11,4,3,2,4,0,0,1,0,20,17432
Heath Fillmyer,CLE,AAA,27,3,7,6.875,19,14,0,0,0,0,,72,317,77,55,55,17,31,0,3,3,2,70,17466
Chad Sobotka,MIL,AAA,27,2,1,4.277227077,38,0,0,0,3,3,,33.2,147,28,19,16,2,22,0,3,2,0,24,17470
Jack Flaherty,STL,AAA,25,0,0,3.6,2,2,0,0,0,0,,5,21,5,2,2,0,1,0,0,1,0,8,17479
Albert Abreu,NYY,AAA,25,1,0,3.779999279,10,0,0,0,2,0,,16.2,72,10,7,7,0,11,0,1,2,1,31,17485
Spenser Watkins,BAL,AAA,28,1,2,3.532709777,8,6,0,0,0,0,,35.2,147,28,16,14,6,11,0,0,3,0,30,17489
Jorge Guzman,MIA,AAA,25,0,1,3.521739861,9,0,0,0,4,1,,15.1,70,14,8,6,1,9,0,0,0,1,20,17505
Ryan Burr,CHW,AAA,27,1,2,4.595743748,15,0,0,0,3,3,,15.2,73,17,11,8,3,7,1,0,1,0,14,17536
Jimmy Herget,TEX,AAA,27,2,3,3.826770906,31,0,0,0,3,2,,42.1,181,35,21,18,6,15,1,1,0,0,53,17556
Marcos Diplan,BAL,AAA,24,3,1,4.118643402,17,0,0,0,0,0,,19.2,90,23,10,9,1,9,0,0,0,0,26,17583
Jordan Yamamoto,NYM,AAA,25,0,1,2.699999485,5,5,0,0,0,0,,16.2,70,14,5,5,3,7,0,1,1,0,17,17585
Mitch Keller,PIT,AAA,25,1,1,3.214285714,8,6,0,0,0,0,,28,128,27,18,10,2,13,1,1,2,0,39,17594
Tanner Rainey,WSN,AAA,28,1,0,2.347825113,8,1,0,0,0,1,,7.2,31,3,2,2,1,5,0,0,0,0,15,17610
Taylor Clarke,ARI,AAA,28,1,0,0,5,0,0,0,0,0,,5,18,3,1,0,0,2,0,0,0,0,6,17611
Justin Lawrence,COL,AAA,26,5,3,3.712499557,26,0,0,0,11,4,,26.2,113,22,14,11,1,11,0,1,4,0,25,17639
Cody Carroll,BAL,AAA,28,2,0,5.571428571,22,0,0,0,0,1,,21,90,21,14,13,5,11,0,0,2,0,23,17664
Rogelio Armenteros,WSN,AAA,27,0,5,6.075,10,9,0,0,0,0,,40,183,44,29,27,9,25,0,0,2,0,42,17679
Ralph Garza Jr.,MIN,AAA,27,2,0,2.499999967,13,0,0,0,1,0,,18,75,8,5,5,3,10,0,2,1,0,22,17682
Kevin Kramer,MIL,AAA,27,0,0,9,1,0,0,0,0,0,,1,5,1,1,1,1,0,0,0,0,0,0,17689
Trevor Megill,CHC,AAA,27,0,0,5.142857143,12,0,0,0,1,0,,14,63,12,8,8,2,8,2,1,4,0,20,17722
Nabil Crismatt,SDP,AAA,26,0,0,0,3,0,0,0,0,0,,3.2,15,3,0,0,0,1,0,0,0,0,6,17732
Evan Phillips,TBR,AAA,26,1,1,4.764706457,20,1,0,0,0,0,,28.1,120,25,17,15,5,14,1,0,2,1,38,17734
Brody Koerner,NYY,AAA,27,3,4,3.504807949,21,14,0,0,0,0,,69.1,297,70,28,27,7,23,0,6,3,1,53,17748
Drew Smith,NYM,AAA,27,0,0,0,1,0,0,0,1,0,,2,8,2,0,0,0,1,0,0,0,0,0,17755
Angel Perdomo,MIL,AAA,27,1,0,1.285714286,14,1,0,0,0,0,,14,52,8,3,2,1,4,0,0,2,0,25,17759
Jose Alvarado,PHI,AAA,26,0,0,0,1,1,0,0,0,0,,1,5,0,0,0,0,1,0,0,0,0,1,17780
Patrick Weigel,MIL,AAA,26,2,1,7.015748874,35,1,0,0,2,2,,42.1,209,44,38,33,6,37,1,3,8,0,48,17792
Dillon Tate,BAL,AAA,27,0,0,0,1,0,0,0,0,0,,1,3,0,0,0,0,0,0,0,0,0,1,17796
Drew Jackson,NYM,AAA,27,0,0,18,2,0,0,0,0,0,,3,16,6,6,6,3,2,0,0,0,0,0,17807
Daniel Zamora,SEA,AAA,28,3,2,7.26050362,29,2,0,0,1,4,,39.2,186,45,38,32,8,25,1,0,1,0,51,17811
Jose Mujica,COL,AAA,25,2,11,8.964000547,20,20,0,0,0,0,,83.1,388,120,89,83,25,23,0,1,4,0,78,17821
Adbert Alzolay,CHC,AAA,26,0,1,18,1,1,0,0,0,0,,2,11,3,4,4,1,1,0,1,0,0,3,17859
